,Unnamed: 0,num_iters,km_perturb,kc_perturb,loss,k1,k2,theta1,theta2,circuit,perturbed
98,98,500,0.9,1.05,0.063462779898177,0.0001790292494144,5.500699153267922e-05,5.350735623017412,9.976254202041265,Dual Control,True
99,99,500,0.95,1.05,0.063730293610362,0.0005162741347994,8.837610966576064e-05,2.3852998692556957,9.741899224405463,Dual Control,True
100,100,500,1.05,1.05,0.0636124926676915,0.0006987537748172,6.970882395961049e-05,2.2863498488669185,9.790635147703265,Dual Control,True
101,101,500,1.1,1.05,0.0636914478811217,0.0007826229083497,4.114069420042968e-05,3.0753895764374675,9.832904636463184,Dual Control,True
102,102,500,1.25,1.05,0.0647126318271175,0.0009695007295331,7.460012661553147e-05,2.11393731124918,9.998554596667743,Dual Control,True
103,103,500,1.5,1.05,0.0654206766553086,0.0009270531939859,4.231988706383868e-05,3.2255591465637625,9.462959932519992,Dual Control,True
104,104,500,0.5,1.1,0.0595614627405735,0.0001962193842833,5.717624445975793e-05,4.411992655263355,9.783432262898916,Dual Control,True
105,105,500,0.75,1.1,0.0610280244748386,0.0004559876661116,5.999248608960448e-05,2.98487860027746,9.970314749634932,Dual Control,True
106,106,500,0.9,1.1,0.0625572313026641,0.0001446972292911,5.578113627909799e-05,6.985293739906516,9.816205713576034,Dual Control,True
107,107,500,0.95,1.1,0.0625183045889524,0.0008545363546239,5.645505627199065e-05,2.3671517563072886,9.471513492172576,Dual Control,True
108,108,500,1.05,1.1,0.0631096149066835,9.806213330542716e-05,5.6445568802878325e-05,9.24701126102097,9.886854397174664,Dual Control,True
109,109,500,1.1,1.1,0.0639740982941889,0.0002686953118759,5.807195246190642e-05,4.251080723445873,9.196078328840292,Dual Control,True
110,110,500,1.25,1.1,0.0635782612451772,0.0007378464995144,5.047670451814484e-05,2.8691599830148737,9.816772421935138,Dual Control,True
111,111,500,1.5,1.1,0.0654198987811759,0.000220203953292,3.94768710204352e-05,8.050014312230145,9.997612915837514,Dual Control,True
112,112,500,0.5,1.25,0.0569944611449299,0.0006683439866483,5.648730468886594e-05,1.9420942649424224,9.997144126499146,Dual Control,True
113,113,500,0.75,1.25,0.0593431643777357,8.21208873172059e-05,7.756195602942511e-05,8.482770343092747,9.99639981088836,Dual Control,True
114,114,500,0.9,1.25,0.060955720518147,0.0005385678323586,4.795120378920846e-05,2.5732380507170265,9.66414219087823,Dual Control,True
115,115,500,0.95,1.25,0.060084013545802,0.0006842457721191,5.627135370240897e-05,2.400375194037029,9.996491585910984,Dual Control,True
116,116,500,1.05,1.25,0.0611867444906033,0.0009027164532751,6.228438692994528e-05,2.077793258227208,9.58331046330715,Dual Control,True
117,117,500,1.1,1.25,0.061513821433323,0.0003298822499118,4.8418391893171366e-05,4.232356907979851,9.931798809996168,Dual Control,True
118,118,500,1.25,1.25,0.0616960156955404,0.0007663137443681,4.761685310309461e-05,2.7091279351734707,9.79748718013208,Dual Control,True
119,119,500,1.5,1.25,0.0625446175076575,0.000951327753366,4.633687987549264e-05,2.7363729394712597,9.985144791277651,Dual Control,True
120,120,500,0.5,1.5,0.055632848253676,0.000406074773358,0.0001065672813074,1.675887403289576,9.973632967143828,Dual Control,True
121,121,500,0.75,1.5,0.0573722859137593,7.090604795721889e-05,5.018432163469192e-05,9.988581957553018,9.4402311190208,Dual Control,True
